wall,cpu,seed,pinned,pumps,paused,state,phase,path,computing,waypoints,clearanceProbes,moving,speed,x,y,z,targetId,targetDist,stillFor,failure
1789507584.245,8070.007,0.000,nil,2.000,false,ATTACK,ACTIVE,ARRIVED,false,0.000,0.000,false,0.000,-640.240,4.480,-218.043,40920547.000,0.512,21.866,
1789507584.512,8070.274,0.000,nil,2.000,false,ATTACK,ACTIVE,ARRIVED,false,0.000,0.000,false,0.000,-640.240,4.480,-218.043,40920547.000,0.512,22.132,
1789507584.779,8070.541,0.000,nil,2.000,false,ATTACK,ACTIVE,ARRIVED,false,0.000,0.000,false,0.000,-640.240,4.480,-218.043,40920547.000,0.512,22.400,
1789507585.046,8070.807,0.000,nil,2.000,false,ATTACK,ACTIVE,ARRIVED,false,0.000,0.000,false,0.000,-640.240,4.480,-218.043,40920547.000,0.512,22.666,
1789507585.312,8071.074,0.000,nil,2.000,false,CHASE,ACTIVE,ARRIVED,false,0.000,0.000,false,0.000,-640.240,4.480,-218.043,40920547.000,0.512,22.933,
1789507585.578,8071.340,0.000,nil,2.000,false,CHASE,ACTIVE,ARRIVED,false,0.000,0.000,false,0.000,-640.240,4.480,-218.043,40920547.000,0.512,23.199,
1789507585.846,8071.607,0.000,nil,2.000,false,CHASE,ACTIVE,ARRIVED,false,0.000,0.000,false,0.000,-640.240,4.480,-218.043,40920547.000,0.512,23.466,
1789507586.113,8071.874,0.000,nil,2.000,false,CHASE,ACTIVE,ARRIVED,false,0.000,0.000,false,0.000,-640.240,4.480,-218.043,40920547.000,0.512,23.733,
1789507586.378,8072.140,0.000,nil,2.000,false,CHASE,ACTIVE,ARRIVED,false,0.000,0.000,false,0.000,-640.240,4.480,-218.043,40920547.000,0.512,23.999,
1789507586.645,8072.407,0.000,nil,2.000,false,ATTACK,ACTIVE,ARRIVED,false,0.000,0.000,false,0.000,-640.240,4.480,-218.043,40920547.000,0.512,24.265,
1789507586.912,8072.673,0.000,nil,2.000,false,ATTACK,ACTIVE,ARRIVED,false,0.000,0.000,false,0.000,-640.240,4.480,-218.043,40920547.000,0.512,24.532,
1789507587.179,8072.940,0.000,nil,2.000,false,ATTACK,ACTIVE,ARRIVED,false,0.000,0.000,false,0.000,-640.240,4.480,-218.043,40920547.000,0.512,24.799,
1789507587.446,8073.207,0.000,nil,2.000,false,ATTACK,ACTIVE,ARRIVED,false,0.000,0.000,false,0.000,-640.240,4.480,-218.043,40920547.000,0.512,25.066,
1789507587.712,8073.474,0.000,nil,2.000,false,CHASE,ACTIVE,ARRIVED,false,0.000,0.000,false,0.000,-640.240,4.480,-218.043,40920547.000,0.512,25.333,
1789507587.978,8073.740,0.000,nil,2.000,false,CHASE,ACTIVE,ARRIVED,false,0.000,0.000,false,0.000,-640.240,4.480,-218.043,40920547.000,0.512,25.599,
1789507588.245,8074.006,0.000,nil,2.000,false,CHASE,ACTIVE,ARRIVED,false,0.000,0.000,false,0.000,-640.240,4.480,-218.043,40920547.000,0.512,25.865,
1789507588.511,8074.273,0.000,nil,2.000,false,CHASE,ACTIVE,ARRIVED,false,0.000,0.000,false,0.000,-640.240,4.480,-218.043,40920547.000,0.512,26.132,
1789507588.780,8074.542,0.000,nil,2.000,false,CHASE,ACTIVE,ARRIVED,false,0.000,0.000,false,0.000,-640.240,4.480,-218.043,40920547.000,0.512,26.401,
1789507589.045,8074.807,0.000,nil,2.000,false,ATTACK,ACTIVE,ARRIVED,false,0.000,0.000,false,0.000,-640.240,4.480,-218.043,40920547.000,0.512,26.666,
1789507589.312,8075.073,0.000,nil,2.000,false,ATTACK,ACTIVE,ARRIVED,false,0.000,0.000,false,0.000,-640.240,4.480,-218.043,40920547.000,0.512,26.932,
1789507589.580,8075.342,0.000,nil,2.000,false,ATTACK,ACTIVE,ARRIVED,false,0.000,0.000,false,0.000,-640.240,4.480,-218.043,40920547.000,0.512,27.201,
1789507589.846,8075.607,0.000,nil,2.000,false,ATTACK,ACTIVE,ARRIVED,false,0.000,0.000,false,0.000,-640.240,4.480,-218.043,40920547.000,0.512,27.466,
1789507590.112,8075.873,0.000,nil,2.000,false,CHASE,ACTIVE,ARRIVED,false,0.000,0.000,false,0.000,-640.240,4.480,-218.043,40920547.000,0.512,27.732,
1789507590.379,8076.141,0.000,nil,2.000,false,CHASE,ACTIVE,ARRIVED,false,0.000,0.000,false,0.000,-640.240,4.480,-218.043,40920547.000,0.512,28.000,
1789507590.645,8076.407,0.000,nil,2.000,false,CHASE,ACTIVE,ARRIVED,false,0.000,0.000,false,0.000,-640.240,4.480,-218.043,40920547.000,0.512,28.266,
1789507590.912,8076.673,0.000,nil,2.000,false,CHASE,ACTIVE,ARRIVED,false,0.000,0.000,false,0.000,-640.240,4.480,-218.043,40920547.000,0.512,28.532,
1789507591.179,8076.941,0.000,nil,2.000,false,CHASE,ACTIVE,ARRIVED,false,0.000,0.000,false,0.000,-640.240,4.480,-218.043,40920547.000,0.512,28.799,
1789507591.445,8077.207,0.000,nil,2.000,false,ATTACK,ACTIVE,ARRIVED,false,0.000,0.000,false,0.000,-640.240,4.480,-218.043,40920547.000,0.512,29.066,
1789507591.711,8077.473,0.000,nil,2.000,false,ATTACK,ACTIVE,ARRIVED,false,0.000,0.000,false,0.000,-640.240,4.480,-218.043,40920547.000,0.512,29.332,
1789507591.978,8077.739,0.000,nil,2.000,false,ATTACK,ACTIVE,ARRIVED,false,0.000,0.000,false,0.000,-640.240,4.480,-218.043,40920547.000,0.512,29.599,
1789507592.245,8078.007,0.000,nil,2.000,false,ATTACK,ACTIVE,ARRIVED,false,0.000,0.000,false,0.000,-640.240,4.480,-218.043,40920547.000,0.512,29.866,
1789507592.513,8078.275,0.000,nil,2.000,false,CHASE,ACTIVE,ARRIVED,false,0.000,0.000,false,0.000,-640.240,4.480,-218.043,40920547.000,0.512,30.134,
1789507592.778,8078.540,0.000,nil,2.000,false,CHASE,ACTIVE,ARRIVED,false,0.000,0.000,false,0.000,-640.240,4.480,-218.043,40920547.000,0.512,30.398,
1789507593.045,8078.807,0.000,nil,2.000,false,CHASE,ACTIVE,ARRIVED,false,0.000,0.000,false,0.000,-640.240,4.480,-218.043,40920547.000,0.512,30.666,
1789507593.312,8079.073,0.000,nil,2.000,false,CHASE,ACTIVE,ARRIVED,false,0.000,0.000,false,0.000,-640.240,4.480,-218.043,40920547.000,0.512,30.932,
1789507593.579,8079.340,0.000,nil,2.000,false,CHASE,ACTIVE,ARRIVED,false,0.000,0.000,false,0.000,-640.240,4.480,-218.043,40920547.000,0.512,31.199,
1789507593.846,8079.608,0.000,nil,2.000,false,ATTACK,ACTIVE,ARRIVED,false,0.000,0.000,false,0.000,-640.240,4.480,-218.043,40920547.000,0.512,31.467,
1789507594.113,8079.874,0.000,nil,2.000,false,ATTACK,ACTIVE,ARRIVED,false,0.000,0.000,false,0.000,-640.240,4.480,-218.043,40920547.000,0.512,31.733,
