wall,cpu,seed,pinned,pumps,paused,state,phase,path,computing,waypoints,clearanceProbes,moving,speed,x,y,z,targetId,targetDist,stillFor,failure
1789508097.142,8582.903,1420318884.000,nil,2.000,false,CHASE,ACTIVE,ARRIVED,false,1.000,0.000,false,0.000,-603.406,6.080,-413.001,40920547.000,3.761,0.000,
1789508097.408,8583.169,1420318884.000,nil,2.000,false,ATTACK,ACTIVE,ARRIVED,false,1.000,0.000,false,0.000,-603.406,6.080,-413.001,40920547.000,3.761,0.266,
1789508097.675,8583.437,1420318884.000,nil,2.000,false,ATTACK,ACTIVE,ARRIVED,false,1.000,0.000,false,0.000,-603.406,6.080,-413.001,40920547.000,3.761,0.533,
1789508097.941,8583.702,1420318884.000,nil,2.000,false,ATTACK,ACTIVE,ARRIVED,false,1.000,0.000,false,0.000,-603.406,6.080,-413.001,40920547.000,3.761,0.799,
1789508098.209,8583.970,1420318884.000,nil,2.000,false,ATTACK,ACTIVE,ARRIVED,false,1.000,0.000,false,0.000,-603.406,6.080,-413.001,40920547.000,3.761,1.067,
1789508098.474,8584.235,1420318884.000,nil,2.000,false,ATTACK,ACTIVE,ARRIVED,false,1.000,0.000,false,0.000,-603.406,6.080,-413.001,40920547.000,3.761,1.332,
1789508098.742,8584.503,1420318884.000,nil,2.000,false,CHASE,ACTIVE,MOVING,false,1.000,0.000,true,4.327,-603.081,6.080,-413.038,40920547.000,3.586,0.000,
1789508099.008,8584.769,1420318884.000,nil,2.000,false,CHASE,ACTIVE,MOVING,false,1.000,0.000,true,10.744,-601.027,6.080,-413.274,40920547.000,3.117,0.000,
1789508099.274,8585.036,1420318884.000,nil,2.000,false,CHASE,ACTIVE,ARRIVED,false,1.000,0.000,false,0.000,-599.340,6.080,-413.467,40920547.000,3.678,0.000,
1789508099.542,8585.303,1420318884.000,nil,2.000,false,CHASE,ACTIVE,ARRIVED,false,1.000,0.000,false,0.000,-599.340,6.080,-413.467,40920547.000,3.678,0.000,
